Date,Open,High,Low,Close,Volume
2011-06-16,1.84467,1.86667,1.716,1.76667,27631860.0
2011-06-15,1.896,1.89667,1.80467,1.82133,20198685.0
2011-06-14,1.90267,1.98,1.90133,1.90667,23599650.0
2011-06-13,1.87133,1.92533,1.85867,1.89533,25704615.0
2011-06-10,1.83467,1.88667,1.82333,1.85733,23497980.0
2011-06-09,1.82867,1.87333,1.80667,1.84133,24046800.0
2011-06-08,1.894,1.90667,1.80133,1.808,25437540.0
2011-06-07,1.92933,1.95933,1.884,1.89133,18331485.0
2011-06-06,2.00667,2.00867,1.884,1.91333,34965255.0
2011-06-03,1.99667,2.1,1.96667,2.00867,93140010.0
2011-06-02,1.90133,1.95467,1.90067,1.91733,14794410.0
2011-06-01,2.0,2.00667,1.892,1.90133,22948440.0
2011-05-31,1.97933,2.01867,1.97,2.00933,49352745.0
2011-05-27,1.96933,1.978,1.92133,1.97,25306035.0
2011-05-26,1.92133,1.984,1.87333,1.96533,50053365.0
2011-05-25,1.79333,1.934,1.74467,1.932,70397235.0
2011-05-24,1.80133,1.83333,1.77333,1.78133,9205095.0
2011-05-23,1.836,1.84133,1.77467,1.788,12953220.0
2011-05-20,1.88333,1.88533,1.82333,1.86467,12638010.0
2011-05-19,1.8,1.896,1.77333,1.88,39826005.0
2011-05-18,1.74,1.76467,1.70133,1.75667,10941105.0
2011-05-17,1.8,1.8,1.71467,1.73067,18512340.0
2011-05-16,1.866,1.866,1.77,1.77333,11334330.0
2011-05-13,1.86667,1.87933,1.82,1.83667,9923655.0
2011-05-12,1.80467,1.84933,1.77667,1.84467,9416100.0
2011-05-11,1.88,1.88667,1.79467,1.80467,14438475.0
2011-05-10,1.88267,1.93,1.86067,1.88867,23032020.0
2011-05-09,1.8,1.86667,1.79,1.86067,13722045.0
2011-05-06,1.79933,1.84667,1.77467,1.808,14724090.0
2011-05-05,1.81667,1.82933,1.74467,1.76267,18291735.0
2011-05-04,1.78533,1.8,1.71667,1.77933,15670485.0
2011-05-03,1.82533,1.826,1.76667,1.79133,13709475.0
2011-05-02,1.84,1.85333,1.804,1.83,11768400.0
2011-04-29,1.846,1.858,1.828,1.84,10893600.0
2011-04-28,1.80467,1.846,1.78133,1.844,24673455.0
2011-04-27,1.79533,1.824,1.77533,1.80533,14953515.0
2011-04-26,1.77733,1.81667,1.754,1.79533,20585145.0
2011-04-25,1.78,1.782,1.73133,1.75933,12012585.0
2011-04-21,1.72267,1.79867,1.706,1.78267,20790795.0
2011-04-20,1.71333,1.73933,1.68667,1.71667,12557535.0
2011-04-19,1.684,1.684,1.64333,1.67733,8230395.0
2011-04-18,1.67533,1.708,1.624,1.66867,15508065.0
2011-04-15,1.71,1.74533,1.694,1.70533,14151765.0
2011-04-14,1.656,1.68533,1.61333,1.676,14750730.0
2011-04-13,1.67533,1.71267,1.654,1.662,18171660.0
2011-04-12,1.672,1.68067,1.62,1.64333,20361015.0
2011-04-11,1.76467,1.76867,1.668,1.68467,20549100.0
2011-04-08,1.83867,1.84,1.75733,1.766,29195280.0
2011-04-07,1.79,1.86267,1.76333,1.816,42161490.0
2011-04-06,1.8,1.80067,1.72,1.766,19324455.0
2011-04-05,1.72667,1.8,1.71267,1.78,47724405.0
2011-04-04,1.78533,1.8,1.682,1.722,39138405.0
2011-04-01,1.84667,1.87867,1.77133,1.77733,42971805.0
2011-03-31,1.76667,1.914,1.76667,1.85,172799715.0
2011-03-30,1.60733,1.63267,1.534,1.58067,18349155.0
2011-03-29,1.554,1.6,1.54733,1.59467,11333865.0
2011-03-28,1.51333,1.56933,1.50333,1.55,15870270.0
2011-03-25,1.49667,1.53333,1.49333,1.51667,8518830.0
2011-03-24,1.476,1.492,1.46533,1.48867,6932400.0
2011-03-23,1.474,1.48467,1.45133,1.48067,6341895.0
